,Predicted
0,1.338872266429456
1,0.8343101317448337
2,0.319073870924642
3,-0.24474347621622805
4,-0.8601059768793301
5,-1.5291688638073553
6,-2.2552856891028177
7,-3.0428590009433396
8,-3.8956181483646284
9,-4.817471668344048
10,-5.812483642947204
11,-6.879493083635454
12,-8.01348272804244
13,-9.207402028408294
14,-10.445234818086838
15,-11.700749973396817
16,-12.947009573776
17,-14.159803337329581
18,-15.317865139593012
19,-16.402412600070807
20,-17.398286916643183
21,-18.295794519410848
22,-19.088320386861017
23,-19.771700888071614
24,-20.348439676782984
